USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
graphics       893     1   10861428   2852 0                   0 S android.hardware.memtrack-service.pixel
nfc            894     1   11024688   2484 0                   0 S android.hardware.nfc-service.st
mediacodec     895     1   11631276   3560 0                   0 S samsung.hardware.media.c2@1.2-service
system         896     1   10918044   2608 0                   0 S vendor.google.aam-service
system         897     1   10853676   2936 0                   0 S vendor.google.google_battery-service
radio          899     1   10932084   3152 0                   0 S vendor.google.radioext@1.0-service
system         901     1   10922624   2504 0                   0 S vendor.google.wireless_charger-default
media          908     1   10920924   2520 0                   0 S android.hardware.cas-service.example
media          909     1   10883064   2600 0                   0 S android.hardware.drm-service.widevine
wifi           922     1   10993420   9652 0                   0 S vendor.google.wifi_ext-service-vendor
audioserver    930     1   11747336  11160 0                   0 S audioserver
credstore      931     1   10862928   1072 0                   0 S credstore
gpu_service    934     1   11003400   1828 0                   0 S gpuservice
root           936     1   10846804   1728 0                   0 S gs_watchdogd
radio          937     1   10964952   2508 0                   0 S shared_modem_platform
radio          938     1   11054740   2608 0                   0 S modem_ml_svc_sit
gps            943     1   10939604   2600 0                   0 S android.hardware.gnss-service.pixel
system         960   879   11002164    656 0                   0 S android.hardware.neuralnetworks@service-darwinn-aidl
root          1048     2          0      0 0                   0 S [dhd_rx_pktpool_thread]
root          1049     2          0      0 0                   0 S [dhd_watchdog_thread]
root          1050     2          0      0 0                   0 S [dhd_rpm_state_thread]
root          1103     2          0      0 0                   0 I [syna_reflash]
drm           1115     1   10931672   2412 0                   0 S drmserver
